from,to,time,connection
qu,mrs,1797,2
qu,bc,1797,2
qu,dh,1797,2
qu,sag,1797,2
qu,bc,1798,2
lo,ks,1798,2
jj,bmb,1798,2
oc,cgh,1796,2
oc,dh,1796,2
oc,cta,1796,2
oc,kge,1796,2
oc,tco,1796,2
oc,sha,1796,2
op,bng,1798,2
op,mrs,1798,2
sc,mrs,1798,2
sc,cgh,1798,2
mn,mrs,1798,2
mn,bng,1798,2
mn,pag,1798,2
th,sha,1796,2
th,ch,1796,2
th,cgh,1796,2
wa,mrs,1798,2
wa,bng,1798,2
wa,dh,1798,2
dc,cgh,1798,2
dc,mrs,1798,2
dc,sha,1798,2
ld,bng,1798,2
cc,bng,1797,2
cc,cta,1797,2
cc,mrs,1797,2
as,mrs,1796,2
as,bng,1796,2
as,bmb,1796,2
as,kge,1796,2
eur,mrs,1803,2
eur,sag,1804,2
eur,sha,1804,2
eur,ck,1804,2
eur,mad,1805,2
laca,mad,1803,2
laca,bng,1803,2
laca,sag,1804,2
laca,sha,1804,2
laca,sha,1805,2
laca,bng,1805,2
swp,sag,1804,2
swp,sha,1804,2
swp,mad,1805,2
hdt,sha,1803,2
hdt,bb,1803,2
hdt,sha,1804,2
hdt,mad,1804,2
hdt,mrs,1805,2
hdt,bng,1805,2
hdt,sag,1805,2
hdt,sha,1805,2
unn,mrs,1803,2
unn,sha,1804,2
unn,mad,1804,2
unn,sha,1804,2
unn,bng,1805,2
unn,sag,1805,2
unn,sha,1805,2
unn,ck,1805,2
esx,mrs,1804,2
esx,tcy,1804,2
esx,bb,1804,2
esx,sha,1804,2
wcs,bb,1804,2
wcs,mlc,1804,2
wcs,waa,1804,2
wcs,pag,1805,2
wcs,sha,1805,2
cyl,bb,1803,2
cyl,tcy,1803,2
cyl,bng,1803,2
cyl,sag,1803,2
cyl,mrs,1804,2
cyl,sha,1804,2
cyl,mrs,1805,2
cyl,bng,1805,2
cyl,sag,1805,2
cyl,co,1805,2
axd,fcl,1804,2
axd,bng,1804,2
axd,sag,1805,2
axd,mrs,1805,2
axd,sha,1805,2
epht,mrs,1804,2
epht,cta,1804,2
epht,sag,1804,2
epht,mrs,1804,2
epht,sha,1804,2
epht,ck,1805,2
epht,fcl,1805,2
epht,sha,1805,2
mra,kge,1804,2
mra,mlc,1804,2
mra,sha,1804,2
dvsh,mrs,1805,2
dvsh,dh,1805,2
dvsh,sag,1805,2
srry,mrs,1805,2
srry,dh,1805,2
srry,sag,1805,2
lkh,mad,1804,2
lkh,mrs,1804,2
lkh,dh,1805,2
lkh,sag,1805,2
lkh,sha,1805,2
phx,sha,1805,2
phx,dh,1805,2
phx,sag,1805,2
phx,co,1805,2
hpe,bng,1805,2
hpe,sha,1805,2
jdg,ck,1805,2
jdg,mad,1805,2
unn,mad,1804,2
unn,sha,1804,2
unn,sag,1805,2
unn,sha,1805,2
rtt,bb,1805,2
ntl,mad,1805,2
ntl,sha,1805,2
wpt,ck,1805,2
wpt,mad,1805,2
shm,mad,1805,2
